Max_Bandwidth,SPF,LUF,MUF 
20,676,824,832
40,1306,1596,1609
60,1932,2366,2387
80,2562,3138,3164
100,3185,3915,3948
120,3820,4680,4723
140,4444,5458,5497
160,5077,6230,6270
180,5719,7007,7051
200,6335,7770,7826
220,6969,8543,8599
240,7585,9324,9380
260,8208,10091,10151
280,8853,10865,10947
300,9487,11615,11711
320,10114,12420,12478
340,10726,13180,13279
360,11357,13966,14058
380,11994,14711,14818
400,12644,15505,15590
420,13240,16193,16369
440,13870,16857,17168
460,14502,17487,17964
480,15108,18095,18700
500,15771,18749,19504
