Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,303,2000,304,1000
40,554,2000,554,1000
60,803,2000,905,1000
80,1053,2000,1188,1000
100,1303,2000,1358,1000
120,1556,2333,1808,1000
140,1799,2571,2124,1000
160,2056,2750,2364,1000
180,2302,2890,2547,1000
200,2551,3000,2699,1000
220,2803,3272,3005,1000
240,3054,3500,3255,1000
260,3309,3691,3467,998
280,3554,3858,3652,988
300,3802,3998,3810,916
320,4053,4244,4075,898
340,4303,4469,4301,843
360,4554,4660,4516,744
380,4802,4841,4697,577
400,5059,4999,4863,371
420,5310,5237,5114,351
440,5557,5456,5343,329
460,5809,5654,5537,246
480,6056,5829,5727,150
500,6315,6000,5901,87
