Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,594,2000,593,1000
40,1119,2000,1119,1000
60,1643,2000,1493,1000
80,2170,2000,1631,5
100,2699,2000,1709,0
120,3222,2333,2099,0
140,3749,2571,2377,0
160,4273,2748,2584,0
180,4797,2888,2748,0
200,5328,2997,2875,0
220,5852,3270,3162,0
240,6379,3495,3400,0
260,6907,3691,3608,0
280,7421,3855,3777,0
300,7945,3998,3927,0
320,8489,4249,4191,0
340,8989,4467,4417,0
360,9537,4665,4616,0
380,10062,4851,4797,0
400,10595,5002,4963,0
420,11118,5239,5196,0
440,11617,5447,5418,0
460,12182,5652,5627,0
480,12690,5835,5807,0
500,13217,6000,5976,0
