Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,675,2000,676,1000
40,1304,2000,1304,1000
60,1932,2000,1931,860
80,2559,2000,1955,0
100,3191,2000,1963,0
120,3812,2333,2304,0
140,4453,2572,2545,0
160,5077,2749,2732,0
180,5711,2889,2876,0
200,6324,3001,2991,0
220,6958,3271,3262,0
240,7598,3505,3494,0
260,8220,3697,3688,0
280,8849,3856,3856,0
300,9473,4001,3999,0
320,10097,4253,4251,0
340,10723,4471,4471,0
360,11348,4669,4668,0
380,12016,4843,4842,0
400,12622,4998,4995,0
420,13226,5236,5245,0
440,13878,5452,5466,0
460,14470,5655,5657,0
480,15142,5838,5833,0
500,15785,6004,6002,0
