Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,511,2000,511,1000
40,938,2000,937,1000
60,1364,2000,1365,1000
80,1791,2000,1789,1000
100,2215,2000,2010,2
120,2645,2333,2354,2
140,3072,2570,2599,0
160,3502,2748,2781,0
180,3921,2888,2925,0
200,4343,3002,3032,0
220,4776,3274,3310,0
240,5201,3493,3542,0
260,5632,3690,3738,0
280,6071,3856,3899,0
300,6488,3994,4046,0
320,6920,4252,4297,0
340,7330,4471,4518,0
360,7765,4668,4714,0
380,8189,4843,4888,0
400,8611,4997,5044,0
420,9033,5234,5288,0
440,9453,5452,5507,0
460,9903,5648,5706,0
480,10328,5837,5884,0
500,10742,6002,6057,0
