Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,675,2000,675,1000
40,1303,2000,1300,1000
60,1934,2000,1938,849
80,2558,2000,2560,0
100,3191,2000,3191,0
120,3811,2332,3548,0
140,4452,2570,3618,0
160,5075,2749,3665,0
180,5706,2887,3706,0
200,6331,3002,3734,0
220,6964,3271,3945,0
240,7597,3501,4117,0
260,8234,3695,4263,0
280,8830,3854,4382,0
300,9457,4002,4491,0
320,10097,4247,4712,0
340,10715,4466,4909,0
360,11358,4664,5082,0
380,12005,4844,5241,0
400,12625,4997,5369,0
420,13240,5236,5591,0
440,13878,5459,5800,0
460,14534,5651,5982,0
480,15129,5836,6145,0
500,15732,6000,6296,0
