Max_Bandwidth,SPF,LUF,MUF 
20,675,822,832
40,1305,1596,1608
60,1935,2372,2383
80,2561,3140,3163
100,3187,3910,3939
120,3818,4685,4719
140,4447,5449,5501
160,5082,6235,6274
180,5715,6997,7054
200,6334,7778,7830
220,6969,8553,8597
240,7585,9332,9373
260,8215,10084,10152
280,8853,10851,10948
300,9473,11630,11716
320,10102,12402,12490
340,10734,13183,13267
360,11346,13969,14045
380,11983,14719,14819
400,12606,15492,15637
420,13237,16232,16391
440,13852,16851,17147
460,14490,17454,17938
480,15114,18118,18721
500,15774,18724,19496
