Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,533,2000,675,1000
40,1032,2000,1246,1000
60,1531,2000,1503,1000
80,2030,2000,1632,327
100,2524,2000,1707,0
120,3024,2333,2092,0
140,3523,2571,2370,0
160,4025,2751,2572,0
180,4525,2889,2734,0
200,5020,2999,2863,0
220,5520,3271,3146,0
240,6027,3502,3389,0
260,6513,3691,3591,0
280,7018,3860,3763,0
300,7512,4002,3916,0
320,8021,4248,4171,0
340,8507,4470,4391,0
360,9007,4666,4598,0
380,9509,4841,4774,0
400,10020,4997,4937,0
420,10500,5240,5177,0
440,11001,5456,5405,0
460,11496,5658,5602,0
480,12006,5829,5787,0
500,12513,6001,5959,0
