Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,303,2000,304,1000
40,553,2000,554,1000
60,803,2000,1051,1000
80,1052,2000,1297,1000
100,1304,2000,1448,1000
120,1554,2333,1876,1000
140,1802,2571,2188,1000
160,2052,2751,2421,1000
180,2301,2892,2596,1000
200,2549,2998,2741,1000
220,2806,3273,3040,1000
240,3053,3499,3290,1000
260,3312,3699,3502,996
280,3559,3855,3678,984
300,3800,4000,3843,926
320,4052,4243,4102,899
340,4299,4475,4333,866
360,4551,4667,4534,753
380,4809,4844,4720,587
400,5056,5003,4884,381
420,5304,5239,5141,364
440,5542,5454,5350,337
460,5804,5648,5552,251
480,6059,5844,5747,161
500,6297,5999,5913,105
