Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,594,2000,593,1000
40,1120,2000,1120,1000
60,1648,2000,1428,1000
80,2170,2000,1580,6
100,2696,2000,1671,0
120,3222,2333,2066,0
140,3747,2572,2350,0
160,4268,2750,2562,0
180,4800,2889,2726,0
200,5328,2999,2857,0
220,5857,3271,3149,0
240,6386,3496,3384,0
260,6915,3691,3588,0
280,7427,3860,3764,0
300,7950,3998,3920,0
320,8474,4249,4180,0
340,9004,4469,4407,0
360,9538,4670,4607,0
380,10066,4840,4790,0
400,10596,5006,4951,0
420,11127,5241,5189,0
440,11623,5454,5414,0
460,12135,5650,5617,0
480,12686,5839,5793,0
500,13223,6002,5965,0
