Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,383,2000,384,1000
40,726,2000,726,1000
60,1069,2000,1086,1000
80,1410,2000,1322,1000
100,1753,2000,1460,1000
120,2095,2331,1890,998
140,2441,2569,2191,919
160,2787,2747,2425,332
180,3125,2889,2602,14
200,3467,3000,2741,0
220,3813,3272,3038,0
240,4158,3499,3287,0
260,4500,3694,3499,0
280,4841,3855,3676,0
300,5176,4001,3833,0
320,5539,4251,4100,0
340,5877,4467,4330,0
360,6214,4663,4529,0
380,6565,4844,4717,0
400,6892,5001,4881,0
420,7255,5238,5122,0
440,7586,5458,5355,0
460,7929,5654,5560,0
480,8258,5834,5740,0
500,8597,5997,5914,0
